FINNINGLEY, -, GBR
month,day,hour,Dry Bulb Temp,Rel Humidity,Global Horiz Rad,Diffuse Rad,Wind Speed,Wind Direction,
 , , ,degrees C,percent,(Wh/sq.m),(Wh/sq.m),ms,degrees,
1,1,1,1.7,62.0,0.0,0.0,5.7,310.0,
1,1,2,0.9,61.0,0.0,0.0,6.7,320.0,
1,1,3,0.3,60.0,0.0,0.0,8.2,310.0,
1,1,4,0.0,59.0,0.0,0.0,7.2,310.0,
1,1,5,-0.2,59.0,0.0,0.0,5.7,300.0,
1,1,6,-0.4,58.0,0.0,0.0,6.2,290.0,
1,1,7,-0.5,60.0,0.0,0.0,5.7,280.0,
1,1,8,0.3,61.0,0.0,0.0,7.7,290.0,
1,1,9,1.1,61.0,8.0,8.0,7.7,290.0,
1,1,10,2.2,60.0,52.0,27.0,9.8,300.0,
1,1,11,2.9,62.0,130.0,69.0,9.8,300.0,
1,1,12,3.8,58.0,171.0,64.0,8.2,310.0,
1,1,13,-0.2,100.0,55.0,55.0,10.3,350.0,
1,1,14,0.6,64.0,92.0,80.0,9.3,320.0,
1,1,15,0.7,56.0,68.0,49.0,8.2,330.0,
1,1,16,0.1,66.0,17.0,17.0,7.7,340.0,
1,1,17,-0.6,68.0,0.0,0.0,7.2,330.0,
1,1,18,-0.6,64.0,0.0,0.0,8.7,320.0,
1,1,19,-0.6,68.0,0.0,0.0,9.3,320.0,
1,1,20,-0.7,75.0,0.0,0.0,7.2,320.0,
1,1,21,-0.7,70.0,0.0,0.0,7.7,320.0,
1,1,22,-0.7,56.0,0.0,0.0,9.8,320.0,
1,1,23,-0.7,56.0,0.0,0.0,9.3,320.0,
1,1,24,-0.8,57.0,0.0,0.0,10.3,320.0,
1,2,1,-0.9,59.0,0.0,0.0,8.2,320.0,
1,2,2,-0.8,57.0,0.0,0.0,8.7,320.0,
1,2,3,-0.9,59.0,0.0,0.0,8.2,320.0,
1,2,4,-0.9,59.0,0.0,0.0,8.7,320.0,
1,2,5,-0.5,56.0,0.0,0.0,8.2,320.0,
1,2,6,-0.8,57.0,0.0,0.0,7.7,320.0,
1,2,7,-0.8,61.0,0.0,0.0,7.7,320.0,
1,2,8,-0.5,56.0,0.0,0.0,7.7,320.0,
1,2,9,-0.1,65.0,9.0,9.0,7.2,330.0,
1,2,10,0.4,57.0,65.0,59.0,8.2,320.0,
1,2,11,1.2,65.0,136.0,54.0,7.7,330.0,
1,2,12,2.0,60.0,179.0,59.0,8.7,340.0,
1,2,13,2.7,56.0,184.0,59.0,7.7,340.0,
1,2,14,2.7,56.0,150.0,55.0,6.7,330.0,
1,2,15,2.6,59.0,84.0,47.0,6.2,330.0,
1,2,16,2.2,60.0,18.0,18.0,6.2,340.0,
1,2,17,1.6,71.0,0.0,0.0,5.7,330.0,
1,2,18,1.6,66.0,0.0,0.0,4.6,310.0,
1,2,19,1.1,67.0,0.0,0.0,4.6,310.0,
1,2,20,0.1,76.0,0.0,0.0,3.6,300.0,
1,2,21,-0.2,86.0,0.0,0.0,3.6,310.0,
1,2,22,0.2,70.0,0.0,0.0,4.6,310.0,
1,2,23,0.2,74.0,0.0,0.0,4.6,320.0,
1,2,24,0.6,73.0,0.0,0.0,3.6,320.0,
1,3,1,0.7,76.0,0.0,0.0,3.6,310.0,
1,3,2,0.1,81.0,0.0,0.0,3.6,310.0,
1,3,3,-0.9,85.0,0.0,0.0,2.6,310.0,
1,3,4,-1.8,88.0,0.0,0.0,1.5,280.0,
1,3,5,-1.4,89.0,0.0,0.0,1.5,310.0,
1,3,6,-1.9,90.0,0.0,0.0,1.0,290.0,
1,3,7,-3.8,90.0,0.0,0.0,0.0,0.0,
1,3,8,-3.8,90.0,0.0,0.0,0.0,0.0,
1,3,9,4.6,45.0,9.0,9.0,0.0,0.0,
1,3,10,-2.5,90.0,65.0,59.0,1.0,180.0,
1,3,11,-0.1,86.0,132.0,55.0,1.0,190.0,
1,3,12,0.9,81.0,180.0,60.0,1.0,160.0,
1,3,13,1.6,79.0,96.0,70.0,1.0,180.0,
1,3,14,2.4,80.0,153.0,85.0,2.6,190.0,
1,3,15,0.9,88.0,77.0,50.0,3.6,150.0,
1,3,16,-0.3,98.0,6.0,6.0,4.6,170.0,
1,3,17,-0.9,99.0,0.0,0.0,4.6,180.0,
1,3,18,-0.8,99.0,0.0,0.0,4.1,150.0,
1,3,19,-1.1,99.0,0.0,0.0,3.6,160.0,
1,3,20,-1.5,98.0,0.0,0.0,3.6,150.0,
1,3,21,-1.8,96.0,0.0,0.0,4.1,160.0,
1,3,22,-2.6,98.0,0.0,0.0,1.5,140.0,
1,3,23,-2.4,93.0,0.0,0.0,2.1,170.0,
1,3,24,-1.9,90.0,0.0,0.0,2.6,160.0,
1,4,1,-1.8,90.0,0.0,0.0,2.6,150.0,
1,4,2,-1.5,87.0,0.0,0.0,3.6,150.0,
1,4,3,-1.1,90.0,0.0,0.0,3.1,160.0,
1,4,4,-0.3,86.0,0.0,0.0,3.1,150.0,
1,4,5,0.4,86.0,0.0,0.0,3.6,170.0,
1,4,6,0.5,90.0,0.0,0.0,3.6,150.0,
1,4,7,0.7,86.0,0.0,0.0,3.6,150.0,
1,4,8,1.1,88.0,0.0,0.0,3.6,150.0,
1,4,9,1.6,83.0,3.0,3.0,5.7,160.0,
1,4,10,1.8,83.0,20.0,20.0,5.7,160.0,
1,4,11,2.6,80.0,42.0,42.0,5.7,160.0,
1,4,12,3.2,76.0,55.0,55.0,6.7,170.0,
1,4,13,3.4,78.0,57.0,57.0,6.7,170.0,
1,4,14,3.5,76.0,47.0,47.0,6.7,160.0,
1,4,15,3.2,80.0,27.0,27.0,5.7,160.0,
1,4,16,3.2,78.0,6.0,6.0,6.2,160.0,
1,4,17,2.9,77.0,0.0,0.0,6.2,160.0,
1,4,18,3.0,75.0,0.0,0.0,5.7,160.0,
1,4,19,3.2,76.0,0.0,0.0,7.2,160.0,
1,4,20,3.0,79.0,0.0,0.0,6.2,160.0,
1,4,21,2.9,79.0,0.0,0.0,6.2,170.0,
1,4,22,2.1,89.0,0.0,0.0,6.2,170.0,
1,4,23,2.7,86.0,0.0,0.0,5.7,180.0,
1,4,24,2.8,86.0,0.0,0.0,5.7,170.0,
1,5,1,2.9,88.0,0.0,0.0,6.2,170.0,
1,5,2,3.2,86.0,0.0,0.0,6.2,170.0,
1,5,3,3.2,88.0,0.0,0.0,5.7,170.0,
1,5,4,3.2,90.0,0.0,0.0,7.2,170.0,
1,5,5,3.3,91.0,0.0,0.0,6.7,170.0,
1,5,6,3.3,94.0,0.0,0.0,7.7,170.0,
1,5,7,3.2,99.0,0.0,0.0,8.2,170.0,
1,5,8,3.4,97.0,0.0,0.0,6.2,170.0,
1,5,9,3.7,97.0,3.0,3.0,7.2,180.0,
1,5,10,3.9,95.0,20.0,20.0,6.2,170.0,
1,5,11,4.3,90.0,42.0,42.0,8.7,190.0,
1,5,12,4.6,90.0,55.0,55.0,8.2,190.0,
1,5,13,4.6,93.0,57.0,57.0,7.2,190.0,
